ruleId,ruleRestriction,ruleCondition,ruleWeight,ruleOrigin,ruleKind,elementKind,processor,humanReadable,geshiLanguage,language,fragmentLocator,technology,role,tags,heading,description
_1,file,regexpr:#^antlr-(.*)\.jar$#,1,,,archive,,,,,,ANTLR,support,,ANTLR library version ${1},
_2,file,suffix:.gz,1,,,archive,,,,,,,,,,
ext_jar,file,suffix:.jar,1,,,archive,,,,,,,,,,
ext_rar,file,suffix:.rar,1,,,archive,,,,,,,,,,
_5,file,suffix:.tar,1,,,archive,,,,,,,,,,
_6,file,suffix:.tar.gz,1,,,archive,,,,,,,,,,
_7,file,suffix:.tgz,1,,,archive,,,,,,,,,,
_8,file,suffix:.zip,1,,,archive,,,,,,,,,,
_9,file,suffix:.class,1,,,binary,,,,,,,,,,
_10,file,suffix:.dll,1,,,binary,,,,,,,,,,
_11,file,suffix:.exe,1,,,binary,,,,,,,,,,
_12,file,suffix:.pdf,1,,,binary,,,,,,,,,,
_13,file,suffix:.ser,1,,,binary,,,,,,,,,,
ext_xls,file,suffix:.xls,1,,technologyBestPractice,binary,,,,,,MicroSoft Excel,,,,
_15,directory,path:application/views/,1,,,directory,,,,,,,,"mvc,view",,
_16,directory,path:application/views/forms/,1,,,directory,,,,,,Zend framework,,"mvc,view",,
_17,directory,path:application/views/layouts/scripts/,1,,,directory,,,,,,Zend framework,,"mvc,view",,
_18,directory,path:application/views/models/,1,,,directory,,,,,,Zend framework,,"mvc,view",,
_19,directory,path:application/views/scripts/,1,,,directory,,,,,,Zend framework,,"mvc,view",,
_20,directory,path:application/views/scripts/error/,1,,,directory,,,,,,Zend framework,,"mvc,view",,
_21,directory,is:client/,1,,,directory,,,,,,,,,,
_22,directory,is:dao/,1,,,directory,,,,,,,,,Data Access Object directory,
_23,directory,path:dao/factory/,1,,,directory,,,,,,,,,Factory for Data Access Objects,
_24,directory,path:dao/factory/hibernate/,1,,,directory,,,,,,Hibernate,,,,
_25,directory,is:features/,1,,,directory,,,,,,,,,,
_26,directory,is:gwt/,1,,,directory,,,,,,GWT,,,,
_27,directory,is:lang/,1,,,directory,,,,,,,,,,
_28,directory,is:operations/,1,,,directory,,,,,,,,,,
_29,directory,is:org/,1,,,directory,,,,,,,,,,
_30,directory,is:scripts/,1,,,directory,,,,,,,,,,
_31,directory,is:view/,1,,,directory,,,,,,,,,,
_32,file,suffix:.bmp,1,,,image,,,,,,,,,,
_33,file,suffix:.cache.png,1,,,image,,,,,,GWT,output,,,
_34,file,suffix:.gif,1,,,image,,,,,,,,,,
_35,file,suffix:.icns,1,,,image,,,,,,,,,,
_36,file,suffix:.ico,1,,,image,,,,,,,,,,
_37,file,suffix:.jpeg,1,,,image,,,,,,,,,,
_38,file,suffix:.jpg,1,,,image,,,,,,,,,,
_39,file,suffix:.png,1,,,image,,,,,,,,,,
_40,file,is:favicon.ico,1,,,image,,,,,,,,,,
_41,file,is:.101meta,1,,,source,geshi,,javascript,JavaScript,,,,,,
_42,file,suffix:.aj,1,,,source,geshi,,text,Aspect J,,,,,,
_43,file,suffix:.asm,1,,,source,geshi,,text,,,,,,,
_44,file,suffix:.atl,1,,,source,geshi,,text,ATL,,,,,,
_45,file,suffix:.bat,1,,,source,geshi,,dos,Batch,,,,,,
_46,file,suffix:.c,1,,,source,geshi,,c,C,,,,,,
_47,file,suffix:.cache.html,1,,,source,geshi,,html,,,GWT,output,,,
_48,file,is:.classpath,1,,,source,geshi,,text,,,Eclipse,,,,
_49,file,suffix:.clj,1,,,source,geshi,,closure,Clojure,,,,,,
_50,file,suffix:.cmd,1,,,source,geshi,,dos,Batch,,,,,,
_51,file,suffix:.cob,1,,,source,geshi,,cobol,Cobol,,,,,,
_52,file,suffix:.config,1,,,source,geshi,,xml,XML,../../technologies/XmlFragmentLocator/locator.py,,,,,
_53,file,suffix:.cpp,1,,,source,geshi,,cpp,CPlusPlus,,,,,,
_54,file,suffix:.cs,1,,,source,geshi,,csharp,CSharp,,,,,,
_55,file,suffix:.cshtml,1,,,source,geshi,,html,HTML,,,,,,
_56,file,suffix:.csproj,1,,,source,geshi,,xml,XML,../../technologies/XmlFragmentLocator/locator.py,,,,,
_57,file,suffix:.css,1,,,source,geshi,,css,CSS,,,,,,
_58,file,suffix:.css.scss,1,,,source,geshi,,text,,,Ruby on Rails,,,,
_59,file,suffix:.Designer.cs,1,,,source,geshi,,csharp,CSharp,,,,,,
_60,file,suffix:.ecore,1,,,source,geshi,,xml,XML,../../technologies/XmlFragmentLocator/locator.py,,,,,
_61,file,suffix:.emx,1,,,source,geshi,,xml,XML,../../technologies/XmlFragmentLocator/locator.py,,,,,
_62,file,suffix:.erb,1,,,source,geshi,,text,Ruby,,,,,,
_63,file,suffix:.erl,1,,,source,geshi,,erlang,Erlang,,,,,,
_64,file,suffix:.esv,1,,,source,geshi,,text,,,,,,,
_65,file,suffix:.fratala,1,,,source,geshi,,javascript,FraTaLa,,,,,,
_66,file,suffix:.g,1,,,source,geshi,,text,,,ANTLR,input,,,
_67,file,suffix:.genmodel,1,,,source,geshi,,xml,XML,../../technologies/XmlFragmentLocator/locator.py,,,,,
_68,file,is:.gitignore,1,,,source,geshi,,text,,,Git,input,,,
_69,file,is:.gitkeep,1,,,source,geshi,,text,,,Git,input,,,
_70,file,suffix:.graphml,1,,,source,geshi,,xml,XML,../../technologies/XmlFragmentLocator/locator.py,,,,,
_71,file,suffix:.groovy,1,,,source,geshi,,groovy,Groovy,,,,,,
_72,file,suffix:.gwt.rpc,1,,,source,geshi,,text,,,GWT,output,,,
_73,file,suffix:.h,1,,languageBestPractice,source,geshi,,c,C,,,,,,
_74,file,suffix:.hbm.xml,1,,,source,geshi,,xml,,,Hibernate,,,,
_75,file,suffix:.hc,1,,,source,geshi,,text,,,,,,,
_76,file,suffix:.hpp,1,,,source,geshi,,cpp,CPlusPlus,,,,,,
_77,file,suffix:.hs,1,,,source,geshi,,haskell,Haskell,../../technologies/HsFragmentLocator/locator.py,,,,,
_78,file,is:.htaccess,1,,,source,geshi,,text,,,Apache,,,,
_79,file,suffix:.html,1,,,source,geshi,,html,HTML,,,,,,
_80,file,suffix:.html.erb,1,,,source,geshi,,text,,,Ruby on Rails,,,,
_81,file,suffix:.ini,1,,,source,geshi,,ini,,,,,,,
_82,file,suffix:.java,1,,languageStandard,source,geshi,,java,Java,../../technologies/JFragmentLocator/locator.py,,,,,
_83,file,suffix:.js,1,,,source,geshi,,javascript,JavaScript,,,,,,
_84,file,suffix:.js.coffee,1,,,source,geshi,,text,,,Ruby on Rails,,,,
_85,file,suffix:.json,1,,,source,geshi,,javascript,JavaScript,,,,,,
_86,file,suffix:.jsp,1,,,source,geshi,,html,,,JSP,,,,
_87,file,suffix:.km3,1,,,source,geshi,,text,,,,,,,
_88,file,suffix:.latala,1,,languageStandard,source,geshi,,javascript,LaTaLa,,,,,,
_89,file,suffix:.launch,1,,,source,geshi,,xml,,,,,,,
_90,file,suffix:.md,1,,,source,geshi,,text,,,,,,,
_91,file,suffix:.mf,1,,,source,geshi,,text,,,,,,,
_92,file,suffix:.min.css,1,,,source,geshi,no,css,CSS,,,,,,
_93,file,suffix:.min.js,1,,,source,geshi,no,javascript,JavaScript,,,,,,
_94,file,suffix:.ml,1,,,source,geshi,,text,,,,,,,
_95,file,suffix:.mobl,1,,,source,geshi,,text,,,,,,,
_96,file,suffix:.mps,1,,,source,geshi,,text,,,,,,,
_97,file,suffix:.php,1,,,source,geshi,,php,PHP,,,,,,
_98,file,suffix:.php4,1,,,source,geshi,,php,PHP,,,,,,
_99,file,suffix:.php5,1,,,source,geshi,,php,PHP,,,,,,
_100,file,suffix:.phtml,1,,,source,geshi,,php,PHP,,,,,,
_101,file,suffix:.pkey.sql,1,,,source,geshi,,sql,SQL,,,,,,
_102,file,suffix:.pl,1,,,source,geshi,,prolog,Prolog,,,,,,
_103,file,suffix:.prefs,1,,,source,geshi,,properties,,,,,,,
_104,file,suffix:.pro,1,,,source,geshi,,prolog,Prolog,,,,,,
_105,file,is:.project,1,,,source,geshi,,xml,,,Eclipse,,,,
_106,file,suffix:.properties,1,,,source,geshi,,properties,,,,,,,
_107,file,suffix:.py,1,,,source,geshi,,python,Python,,,,,,
_108,file,suffix:.rb,1,,,source,geshi,,ruby,Ruby,,,,,,
_109,file,suffix:.rsc,1,,,source,geshi,,text,Rascal,,,,,,
_110,file,suffix:.scala,1,,,source,geshi,,scala,Scala,,,,,,
_111,file,suffix:.sdf,1,,,source,geshi,,text,,,,,,,
_112,file,suffix:.sh,1,,,source,geshi,,bash,Bash,,,,,,
_113,file,suffix:.sql,1,,,source,geshi,,sql,SQL,,,,,,
_114,file,suffix:.sqlcmdvars,1,,,source,geshi,,sql,SQL,,,,,,
_115,file,suffix:.sqldeployment,1,,,source,geshi,,sql,SQL,,,,,,
_116,file,suffix:.sqlfile.sql,1,,,source,geshi,,sql,SQL,,,,,,
_117,file,suffix:.sqlpermissions,1,,,source,geshi,,sql,SQL,,,,,,
_118,file,suffix:.sqlsettings,1,,,source,geshi,,sql,SQL,,,,,,
_119,file,suffix:.st,1,,,source,geshi,,smalltalk,Smalltalk,,,,,,
_120,file,suffix:.str,1,,,source,geshi,,text,,,,,,,
_121,file,suffix:.svg,1,,,source,geshi,,xml,SVG,,,,,,
_122,file,suffix:.table.sql,1,,,source,geshi,,sql,SQL,,,,,,
_123,file,suffix:.tetala,1,,,source,geshi,,javascript,TeTaLa,,,,,,
_124,file,suffix:.tokens,1,,,source,geshi,,text,,,ANTLR,input,,,
_125,file,suffix:.tpl,1,,,source,geshi,,xml,XML,../../technologies/XmlFragmentLocator/locator.py,,,,,
_126,file,suffix:.trigger.sql,1,,,source,geshi,,sql,SQL,,,,,,
_127,file,suffix:.txt,1,,,source,geshi,,text,,,,,,,
_128,file,suffix:.wsdl,1,,,source,geshi,,,,,,,,,
_129,file,suffix:.xaml,1,,,source,geshi,,xml,XML,../../technologies/XmlFragmentLocator/locator.py,,,,,
_130,file,suffix:.xaml.cs,1,,,source,geshi,,csharp,CSharp,,,,,,
_131,file,suffix:.xhtml,1,,,source,geshi,,html,HTML,,,,,,
_132,file,suffix:.xmi,1,,,source,geshi,,xml,XML,../../technologies/XmlFragmentLocator/locator.py,,,,,
_133,file,suffix:.xml,1,,,source,geshi,,xml,XML,../../technologies/XmlFragmentLocator/locator.py,,,,,
_134,file,suffix:.xq,1,,,source,geshi,,xml,XML,../../technologies/XmlFragmentLocator/locator.py,,,,,
_135,file,suffix:.xsc,1,,,source,geshi,,text,,,,,,,
_136,file,suffix:.xsd,1,,,source,geshi,,xml,XSD,../../technologies/XmlFragmentLocator/locator.py,,,,,
_137,file,suffix:.xsl,1,,,source,geshi,,xml,XML,../../technologies/XmlFragmentLocator/locator.py,,,,,
_138,file,suffix:.xslt,1,,,source,geshi,,xml,XLST,../../technologies/XmlFragmentLocator/locator.py,,,,,
_139,file,suffix:.xss,1,,,source,geshi,,,,,,,,,
_140,file,suffix:.xtend,1,,,source,geshi,,text,,,Xtext,,,,
_141,file,suffix:.xtext,1,,,source,geshi,,text,,,Xtext,,,,
_142,file,is:.zfproject.xml,1,,,source,geshi,,xml,,,Zend framework,input,,,
_143,file,is:_form.html.erb,1,,,source,geshi,,text,,,Ruby on Rails,,,,
_144,file,suffix:~,1,,,ignore,,,,,,,,,,
_145,file,suffix:Acceptor.java,1,,,source,geshi,,java,,,,,,,
_146,file,suffix:Action.java,1,,,source,geshi,,java,,,,,,,
_147,file,is:AssemblyInfo.cs,1,,,source,geshi,,csharp,CSharp,,,,,,
_148,file,suffix:Bean.java,1,,,source,geshi,,java,,,,,,,
_149,file,suffix:BeanFactory.java,1,,,source,geshi,,java,,,,,,,
_150,file,is:build.xml,1,,,source,geshi,,xml,,,Ant,input,,,
_151,file,is:ComponentImpl.java,1,,,source,geshi,,java,,,,,,,
_152,file,is:ContainerImpl.java,1,,,source,geshi,,java,,,,,,,
_153,file,suffix:ContextManager.java,1,,,source,geshi,,java,,,,,,,
_154,file,suffix:Controller.cs,1,,,source,geshi,,cs,,,,,,,
_155,file,suffix:Controller.java,1,,,source,geshi,,java,,,,,,,
_156,file,suffix:Controller.js,1,,,source,geshi,,javascript,,,,,,,
_157,file,suffix:Controller.php,1,,,source,geshi,,php,,,,,,,
_158,file,is:COPYING,1,,bestPractice,source,geshi,,text,,,,,,,
_159,file,suffix:CreationModel.js,1,,,source,geshi,,javascript,,,,,,,
_160,file,suffix:DAO.java,1,,,source,geshi,,java,,,Hibernate,,,,
_161,file,is:DAOFactory.java,1,,,source,geshi,,java,,,,,,,
_162,file,suffix:DAOHibernate.java,1,,,source,geshi,,java,,,Hibernate,,,,
_163,file,suffix:DetailsPage.xaml,1,,,source,geshi,,xml,XAML,,,,,,
_164,file,suffix:DetailsPage.xaml.cs,1,,,source,geshi,,csharp,CSharp,,,,,,
_165,file,suffix:Dto.datasource,1,,,source,geshi,,text,,,,,,,
_166,file,suffix:DTO.java,1,,,source,geshi,,java,,,,,,,
_167,file,is:edit.html.erb,1,,,source,geshi,,text,,,Ruby on Rails,,,,
_168,file,suffix:FactoryImpl.java,1,,,source,geshi,,java,,,,,,,
_169,file,is:hibernate.cfg.xml,1,,,source,geshi,,xml,,,Hibernate,,,,
_170,file,is:HibernateDAOFactory.java,1,,,source,geshi,,java,,,Hibernate,,,,
_171,file,suffix:Impl.java,1,,,source,geshi,,java,,,,,,,
_172,file,is:index.html,1,,,source,geshi,,html,HTML,,,,,,
_173,file,is:index.html.erb,1,,,source,geshi,,text,,,Ruby on Rails,,,,
_174,file,is:index.php,1,,,source,geshi,,php,PHP,,,,,,
_175,file,suffix:Lexer.java,1,,,source,geshi,,java,,,ANTLR,output,,,
_176,file,is:LICENCE.txt,1,,bestPractice,source,geshi,,text,,,,,,,
_177,file,is:log4j.properties,1,,,source,geshi,,properties,,,Log4j,,,,
_178,file,is:make.bat,0.3,,bestPractice,source,geshi,,dos,,,,,,,"On windows platform, in the absence of make tool, this script allows to build everything"
_179,file,is:Makefile,1,,,source,geshi,,make,,,make,input,,,
_180,file,is:makefile,1,,,source,geshi,,make,,,make,input,,,
_181,file,is:MANIFEST.MF,1,,technologyStandard,source,geshi,,text,,,,,,,
_182,file,suffix:Model.java,1,,,source,geshi,,java,,,,,,,
_183,file,suffix:Model.js,1,,,source,geshi,,javascript,,,,,,,
_184,file,is:new.html.erb,1,,,source,geshi,,text,,,Ruby on Rails,,,,
_185,file,is:org.eclipse.jdt.core.prefs,1,,,source,geshi,,xml,,,Eclipse,,,,
_186,file,suffix:PackageImpl.java,1,,,source,geshi,,java,,,,,,,
_187,file,suffix:Parser.java,1,,,source,geshi,,java,,,ANTLR,output,,,
_188,file,is:pom.xml,1,,,source,geshi,,xml,,,Maven,,,,
_189,file,is:project.properties,1,,,source,geshi,,html,HTML,,,,,,
_190,file,is:README,1,,bestPractice,source,geshi,,text,,,,,,,
_191,file,is:README.md,1,,bestPractice,source,geshi,,text,,,,,,,
_192,file,is:README.txt,1,,bestPractice,source,geshi,,text,,,,,,,
_193,file,is:readme.txt,1,,bestPractice,source,geshi,,text,,,,,,,
_194,file,suffix:Service.java,1,,,source,geshi,,java,,,,,,,
_195,file,suffix:ServiceAsync.java,1,,,source,geshi,,java,,,,,,,
_196,file,suffix:ServiceImpl.java,1,,,source,geshi,,java,,,,,,,
_197,file,is:Settings.Designer.settings,1,,,source,geshi,,text,,,,,,,
_198,file,is:Settings.settings,1,,,source,geshi,,text,,,,,,,
_199,file,is:show.html.erb,1,,,source,geshi,,text,,,Ruby on Rails,,,,
_200,file,suffix:View.java,1,,,source,geshi,,java,,,,,,,
_201,file,suffix:View.js,1,,,source,geshi,,javascript,,,,,,,
_202,file,is:Web.config,1,,,source,geshi,,text,,,,,,,
_203,file,suffix:.fs,1,,,source,geshi,,text,Fsharp,,,,,,
_204,file,suffix:.plist,1,,,source,geshi,,text,,,,,,,
_205,file,suffix:.Company,1,,101BestPractice,source,geshi,,text,,,,,,,
_206,file,is:baseline,0.3,,101BestPractice,source,geshi,,text,,,,,,,
